time,downstream, side, upstream, h_status1,20.18,19.37,
254,19.53,19.20,
255,19.54,19.08,
256,19.53,19.05,
257,19.51,19.00,
258,19.45,18.91,
259,19.52,18.95,
260,19.41,18.88,
261,19.43,18.95,
262,19.47,19.15,
263,19.49,19.01,
264,19.41,18.89,
265,19.41,18.89,
266,19.47,18.87,
267,19.45,18.95,
268,19.45,18.91,
269,19.43,18.95,
270,19.41,18.96,
271,19.43,19.04,
272,19.43,18.95,
273,19.45,19.06,
274,19.47,18.99,
275,19.52,19.20,
276,19.49,19.18,
277,19.55,19.17,
278,19.56,19.38,
279,19.64,19.27,
280,19.58,19.21,
281,19.53,19.08,
282,19.51,18.99,
283,19.51,18.98,
284,19.48,18.98,
285,19.53,18.97,
286,19.51,19.03,
287,19.49,19.04,
288,19.49,19.22,
289,19.49,19.30,
290,19.48,18.93,
291,19.49,18.94,
292,19.48,18.98,
293,19.43,19.00,
294,19.43,18.92,
295,19.47,18.98,
296,19.42,18.95,
297,19.47,19.03,
298,19.58,19.27,
299,19.48,19.06,
300,19.49,19.05,
301,19.47,18.92,
302,19.48,18.92,
303,19.47,18.98,
304,19.45,18.95,
305,19.34,18.89,
306,19.42,18.95,
307,19.43,18.85,
308,19.47,18.96,
309,19.42,18.91,
310,19.45,18.91,
311,19.45,18.94,
312,19.45,18.87,
313,19.43,18.87,
314,19.45,18.85,
315,19.45,18.95,
316,19.47,18.95,
317,19.41,19.00,
318,19.52,18.98,
319,19.42,18.94,
320,19.45,18.91,
321,19.47,18.98,
322,19.43,18.92,
323,19.45,18.95,
324,19.52,18.93,
325,19.42,18.98,
326,19.42,18.86,
327,19.40,18.92,
328,19.47,18.82,
329,19.40,18.87,
330,19.47,18.87,
331,19.48,19.16,
332,19.53,19.45,
333,19.64,19.37,
334,19.62,19.47,
335,19.64,19.58,
336,19.55,19.18,
337,19.53,19.09,
338,19.59,19.23,
339,19.49,19.30,
340,19.54,19.22,
341,19.42,19.01,
342,19.48,19.08,
343,19.45,18.97,
344,19.47,18.99,
345,19.45,19.02,
346,19.45,18.95,
347,19.42,18.98,
348,19.45,18.98,
349,19.45,18.99,
350,19.49,18.95,
351,19.49,19.04,
352,19.45,19.00,
353,19.42,19.02,
354,19.48,18.95,
355,19.49,18.99,
356,19.47,19.02,
357,19.49,19.01,
358,19.45,18.99,
359,19.45,18.95,
360,19.47,19.04,
361,19.47,18.96,
362,19.47,19.00,
363,19.45,19.02,
364,19.47,18.98,
365,19.45,18.98,
366,19.51,19.00,
367,19.47,19.05,
368,19.48,19.03,
369,19.53,18.98,
370,19.47,19.04,
371,19.53,19.04,
372,19.54,19.14,
373,19.53,19.21,
374,19.51,19.14,
375,19.52,19.03,
376,19.55,18.95,
377,19.45,18.97,
378,19.45,19.00,
379,19.45,19.07,
380,19.47,19.16,
381,19.47,19.13,
382,19.49,19.02,
383,19.54,19.29,
384,19.48,19.26,
385,19.52,19.37,
386,19.54,19.18,
387,19.45,19.05,
388,19.45,18.91,
389,19.32,18.94,
390,19.37,18.95,
391,19.40,18.91,
392,19.43,19.01,
393,19.45,19.12,
394,19.49,19.16,
395,19.53,19.17,
396,19.51,19.13,
