1460076524, 18.81, 29.76
1460076825, 19.35, 25.44
1460077125, 19.76, 25.32
1460077425, 20.47, 24.98
1460077726, 21.88, 24.20
1460078026, 22.41, 24.09
1460078327, 22.86, 24.40
1460078627, 22.87, 24.53
1460078927, 22.97, 24.53
1460079228, 22.99, 24.57
1460079528, 23.03, 24.65
1460079828, 22.83, 24.87
1460080129, 22.90, 24.92
1460080429, 22.67, 25.09
1460080730, 22.70, 24.98
1460081030, 22.77, 24.99
1460081330, 22.58, 25.09
1460081631, 22.51, 25.25
1460081931, 22.53, 25.17
1460082232, 22.50, 25.20
1460082532, 22.50, 25.20
1460082832, 22.55, 25.25
1460083133, 22.57, 25.29
1460083433, 22.66, 25.25
1460083734, 22.68, 25.25
1460084034, 22.78, 25.34
1460084334, 22.78, 25.34
1460084635, 22.78, 25.43
1460084935, 22.78, 25.54
1460085235, 22.81, 25.39
1460085536, 22.73, 25.50
1460085836, 22.78, 25.43
1460086137, 22.78, 25.46
1460086437, 22.82, 25.59
1460086737, 22.83, 25.54
1460087038, 22.80, 25.66
1460087338, 22.83, 25.86
1460087639, 22.87, 25.84
1460087939, 22.87, 25.72
1460088239, 22.87, 25.60
1460088540, 22.92, 25.95
1460088840, 22.94, 25.88
1460089141, 22.92, 25.88
1460089441, 22.93, 25.64
1460089741, 22.98, 25.80
1460090042, 23.00, 25.72
1460090342, 22.94, 25.72
1460090642, 22.87, 25.70
1460090943, 22.93, 25.72
1460091243, 22.96, 25.72
1460091544, 22.94, 25.72
1460091844, 22.99, 25.48
1460092144, 23.01, 25.44
1460092445, 23.03, 25.44
1460092745, 22.99, 25.56
1460093046, 22.98, 25.68
1460093346, 22.96, 25.44
1460093646, 22.99, 25.52
1460093947, 22.99, 25.52
1460094247, 23.01, 25.56
1460094548, 23.16, 25.65
1460094848, 23.96, 25.30
1460095148, 26.53, 22.85
1460095449, 26.85, 22.97
1460095749, 26.65, 23.63
1460096050, 26.22, 24.27
1460096350, 25.81, 24.90
1460096650, 25.52, 25.36
1460096951, 25.19, 25.45
1460097251, 24.90, 25.62
1460097551, 24.73, 25.68
1460097852, 24.73, 25.64
1460098152, 24.62, 25.68
1460098453, 24.46, 25.70
1460098753, 24.35, 25.72
1460099053, 24.16, 25.83
1460099354, 23.99, 25.89
1460099654, 23.88, 26.00
1460099955, 23.82, 26.04
1460100255, 23.68, 26.02
1460100555, 23.60, 26.02
1460100856, 23.55, 25.76
1460101156, 23.44, 25.56
1460101457, 23.44, 25.33
1460101757, 23.39, 25.16
1460102057, 23.29, 25.07
1460102358, 23.27, 25.00
1460102658, 23.29, 24.91
1460102959, 23.26, 24.88
1460103259, 23.23, 24.78
1460103559, 23.22, 24.94
1460103860, 23.21, 24.71
1460104160, 23.16, 24.78
1460104460, 23.18, 24.78
1460104761, 23.16, 24.66
1460105061, 23.15, 24.66
1460105362, 23.11, 24.75
1460105662, 23.09, 24.82
1460105962, 23.07, 24.66
1460106263, 23.08, 24.75
1460106563, 23.05, 24.61
1460106864, 23.03, 24.65
1460107164, 23.05, 24.53
1460107464, 23.05, 24.49
1460107765, 23.08, 24.39
1460108065, 23.02, 24.41
1460108366, 23.02, 24.41
1460108666, 23.02, 24.41
1460108966, 23.08, 24.55
1460109267, 23.06, 24.59
1460109567, 23.05, 24.73
1460109867, 23.05, 24.73
1460110168, 23.02, 24.77
1460110468, 23.06, 24.77
1460110769, 23.06, 24.78
1460111069, 23.07, 24.78
1460111369, 23.10, 24.75
1460111670, 23.14, 24.78
1460111970, 23.10, 24.82
1460112271, 23.11, 24.98
1460112571, 23.09, 24.94
1460112871, 23.08, 24.98
1460113172, 23.06, 25.04
1460113472, 23.09, 25.06
1460113773, 23.06, 25.08
1460114073, 23.07, 25.14
1460114373, 23.62, 24.79
1460114674, 25.46, 23.36
1460114974, 26.77, 22.41
1460115275, 26.83, 22.33
1460115575, 26.49, 22.74
1460115875, 26.20, 23.07
1460116176, 25.62, 23.62
1460116476, 25.28, 23.79
1460116776, 25.04, 24.08
1460117077, 24.80, 24.29
1460117377, 24.62, 24.53
1460117678, 24.47, 24.63
1460117978, 24.35, 24.78
1460118278, 24.35, 24.89
1460118579, 25.09, 24.28
1460118879, 26.96, 22.70
1460119180, 26.95, 22.58
1460119480, 26.71, 22.87
1460119780, 26.24, 23.20
1460120081, 25.95, 23.49
1460120381, 25.64, 23.82
1460120682, 25.32, 24.11
1460120982, 25.01, 24.32
1460121282, 24.79, 24.56
1460121583, 24.57, 24.67
1460121883, 24.40, 24.82
1460122184, 24.30, 24.98
1460122484, 24.18, 25.04
1460122784, 24.10, 25.18
1460123085, 24.04, 25.38
1460123385, 23.99, 25.42
1460123686, 23.94, 25.58
1460123986, 23.94, 25.73
1460124286, 23.89, 26.04
1460124587, 23.82, 26.23
1460124887, 23.83, 26.35
1460125188, 23.76, 26.57
1460125488, 23.72, 26.69
1460125788, 23.69, 27.00
1460126089, 23.62, 27.60
1460126389, 23.58, 28.10
1460126689, 23.52, 28.54
1460126990, 23.44, 28.77
1460127290, 23.44, 29.13
1460127591, 23.40, 29.42
1460127891, 23.37, 29.62
1460128191, 23.32, 29.78
1460128492, 23.27, 29.86
1460128792, 23.21, 29.89
1460129093, 23.17, 30.09
1460129393, 23.13, 30.13
1460129693, 23.11, 30.24
1460129994, 23.09, 30.40
1460130294, 23.07, 30.44
1460130595, 23.10, 30.48
1460130895, 23.06, 30.54
1460131195, 23.08, 30.67
1460131496, 23.10, 30.60
1460131796, 23.11, 30.76
1460132097, 23.10, 30.83
1460132397, 23.13, 30.87
1460132697, 23.09, 30.87
1460132998, 23.08, 30.91
1460133298, 23.07, 30.83
1460133598, 23.11, 30.83
1460133899, 23.10, 30.91
1460134199, 23.02, 30.86
1460134500, 23.02, 30.82
