101_7,1464755415,423,15.00,2.63,3.30,0
101_7,1464756392,425,14.00,2.63,3.30,0
101_7,1464757369,425,14.00,2.63,3.30,0
101_7,1464758346,423,13.00,2.63,3.30,0
101_7,1464759323,425,13.00,2.63,3.30,0
101_7,1464760300,422,12.00,2.63,3.30,0
101_7,1464761276,422,12.00,2.63,3.30,0
101_7,1464762253,425,12.00,2.63,3.30,0
101_7,1464763229,425,12.00,2.63,3.30,0
101_7,1464764206,424,12.00,2.62,3.30,0
101_7,1464765182,422,12.00,2.63,3.30,0
101_7,1464766159,424,12.00,2.63,3.30,0
101_7,1464767135,424,12.00,2.63,3.30,0
101_7,1464768112,421,12.00,2.63,3.30,0
101_7,1464769088,421,12.00,2.63,3.30,0
101_7,1464770064,424,12.00,2.63,3.30,0
101_7,1464771041,422,11.00,2.63,3.30,0
101_7,1464772017,422,12.00,2.62,3.30,0
101_7,1464772994,422,12.00,2.63,3.30,0
101_7,1464773970,421,12.00,2.63,3.30,0
101_7,1464774946,424,12.00,2.63,3.30,0
101_7,1464775923,424,12.00,2.63,3.30,0
101_7,1464776899,421,12.00,2.63,3.30,0
101_7,1464777875,422,12.00,2.63,3.30,0
101_7,1464778852,424,12.00,2.63,3.30,0
101_7,1464779828,424,12.00,2.62,3.30,0
101_7,1464780805,421,11.00,2.62,3.30,0
101_7,1464781781,423,12.00,2.63,3.30,0
101_7,1464782757,423,12.00,2.63,3.30,0
101_7,1464783734,424,12.00,2.63,3.30,0
101_7,1464784710,424,12.00,2.63,3.30,0
101_7,1464785686,421,11.00,2.63,3.30,0
101_7,1464786662,421,11.00,2.63,3.30,0
101_7,1464787637,423,12.00,2.63,3.30,0
101_7,1464788612,421,12.00,2.63,3.30,0
101_7,1464789588,422,12.00,2.63,3.30,0
101_7,1464790563,424,12.00,2.63,3.30,0
101_7,1464791538,423,11.00,2.63,3.30,0
101_7,1464792513,421,12.00,2.63,3.30,0
101_7,1464793489,422,12.00,2.63,3.30,0
101_7,1464794464,423,11.00,2.63,3.30,0
101_7,1464795439,422,12.00,2.63,3.30,0
101_7,1464796415,423,11.00,2.63,3.30,0
101_7,1464797392,422,11.00,2.63,3.30,0
101_7,1464798368,424,11.00,2.62,3.30,0
101_7,1464799344,421,11.00,2.63,3.30,0
101_7,1464800320,422,12.00,2.63,3.30,0
101_7,1464801297,424,12.00,2.63,3.30,0
101_7,1464802273,423,11.00,2.63,3.30,0
101_7,1464803249,423,12.00,2.63,3.30,0
101_7,1464804225,424,11.00,2.63,3.30,0
101_7,1464805202,424,11.00,2.63,3.30,0
101_7,1464806178,425,12.00,2.63,3.30,0
101_7,1464807154,433,12.00,2.63,3.30,0
101_7,1464808131,446,13.00,2.63,3.30,0
101_7,1464809108,429,13.00,2.63,3.30,0
