Internal,22.17,22.41,22.50,External,20.02,19.99,20.06,0,
InteInternal,22.14,22.41,22.48,External,20.00,20.04,20.02,0,
Internal,22.20,22.37,22.48,External,20.10,20.02,20.08,1,
Internal,22.14,22.42,22.45,External,20.02,20.08,20.04,1,
Internal,22.17,22.34,22.42,External,20.02,19.98,20.02,1,
Internal,22.17,22.37,22.53,External,20.02,20.02,20.12,1,
Internal,22.17,22.34,22.48,External,20.11,20.00,20.09,1,
Internal,22.12,22.37,22.48,External,20.00,20.02,20.08,1,
Internal,22.17,22.34,22.45,External,20.05,19.99,20.08,0,
Internal,22.14,22.41,22.48,External,20.02,20.05,20.08,0,
Internal,22.14,22.37,22.50,External,20.08,20.05,20.10,0,
Internal,22.14,22.42,22.45,External,20.02,20.09,20.05,0,
Internal,22.12,22.42,22.45,External,20.04,20.09,20.05,0,
Internal,22.20,22.34,22.42,External,20.10,20.02,399.98,0,
Internal,22.17,22.33,22.45,External,20.09,20.00,20.59,0,
Internal,22.20,22.34,22.48,External,20.04,20.04,2.70,0,
Internal,22.12,22.37,22.48,External,20.00,20.05,20.11,0,
Internal,22.17,22.37,22.42,External,20.10,20.05,399.98,0,
Internal,22.14,22.41,22.48,External,20.05,20.11,20.09,0,
Internal,22.14,22.41,22.48,External,20.08,20.10,20.09,0,
Internal,22.12,22.41,22.48,External,20.06,20.08,15.54,0,
Internal,22.12,22.37,22.48,External,20.12,20.08,27.87,0,
Internal,22.14,22.41,22.48,External,20.06,20.06,20.11,0,
Internal,22.09,22.41,22.50,External,20.02,20.08,20.13,0,
Internal,22.14,22.41,22.48,External,20.04,20.10,20.11,0,
Internal,22.09,22.42,22.45,External,20.00,20.12,20.09,0,
Internal,22.22,22.42,22.42,External,20.13,20.12,20.05,0,
Internal,22.09,22.37,22.48,External,19.95,20.08,20.12,0,
Internal,22.17,22.34,22.48,External,20.10,20.04,20.11,0,
Internal,22.14,22.37,22.48,External,20.00,20.08,20.13,0,
Internal,22.12,22.37,22.42,External,20.06,20.08,20.02,0,
Internal,22.14,22.34,22.48,External,20.08,20.05,20.12,0,
Internal,22.12,22.37,22.48,External,20.05,20.09,20.13,0,
Internal,22.12,22.41,22.41,External,20.04,20.11,20.05,0,
Internal,22.17,22.41,22.42,External,20.18,20.12,20.08,0,
Internal,22.14,22.34,22.45,External,20.10,20.08,20.11,0,
Internal,22.14,22.37,22.48,External,20.06,20.10,20.13,0,
Internal,22.14,22.41,22.41,External,20.08,20.13,20.06,0,
Internal,22.14,22.34,22.48,External,20.10,20.10,20.15,0,
Internal,22.14,22.37,22.45,External,20.04,20.10,20.11,0,
Internal,22.09,22.37,22.45,External,20.02,20.13,20.11,0,
Internal,22.14,22.37,22.42,External,20.10,20.11,20.10,0,
Internal,22.12,22.37,22.48,External,20.00,20.13,20.18,0,
Internal,22.14,22.34,22.45,External,20.04,20.10,20.15,0,
