Part,Value,Device,Description,PARTNO
FRAME1 FRAME3 J1 J3 ,FRAME-LETTERNO_PACKAGE,FRAME-LETTERNO_PACKAGE,Schematic Frame,
J5 J6 SJ1 SJ2 SJ3 SJ4 SJ5 SJ6 TC1 ,MF-CON-2.54mm-01x03,CON_01X03_PTH_2.54MM,Library:  MF_Connectors,NA
