Part,Value,Device,Description,PARTNO
FRAME1 FRAME2 FRAME3 JP1 JP2 JP3 SJ1 SJ2 SJ3 SJ4 TC1 ,FRAME-LETTER,FRAME-LETTER,Schematic Frame,NA
J2 J3 J4 J5 LOGO1 ,CON_01X02TINY,CON_01X02TINY,Library:  MF_Connectors,
